animeID,name,source,producers,genre,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
31302,Robo to Shoujo (Kari): Oshirase Gekijou (Kari),Unknown,,Comedy,,5,FALSE,12707,12061,210,0,48,4
31309,Balloon,Original,,Dementia,,1,FALSE,9689,10299,476,1,262,5.06
31310,Ishikeri,Original,Tokyo University of the Arts,Comedy,,1,FALSE,9213,10591,412,0,225,5.37
31317,Yonimo Kimyou na Man☆Gatarou,Unknown,Studio PuYUKAI,Comedy,,8,FALSE,13625,13694,118,0,10,5.3
31318,Comet Lucifer,Original,Bandai Visual,Action,8bit,12,FALSE,7865,1087,85788,88,33441,5.94
31319,12-sai. 2nd Season,Manga,Half H.P Studio,Romance,SynergySP,4,FALSE,6456,6656,2757,4,639,6.34
31321,Shounen to Sakura,Picture book,Shinano Kikaku,Kids,,1,FALSE,8213,12161,202,0,79,5.82
31324,Grisaia no Meikyuu Special,Visual novel,Frontier Works,Ecchi,8bit,1,FALSE,1870,2157,33745,56,18182,7.44
31326,High School DxD BorN: Ishibumi Ichiei Kanzen Kanshuu! Mousou Bakuyou Kaijo Original Video,Light novel,Genco,Comedy,TNK,6,FALSE,1919,1943,40140,96,20405,7.43
31327,Shokugeki no Souma OVA,Manga,Magic Capsule,Ecchi,J.C.Staff,2,FALSE,1787,1450,61923,62,27864,7.47
31338,Hundred,Light novel,TV Tokyo,Action,Production IMS,12,FALSE,5535,510,180091,459,87811,6.56
31339,Drifters,Manga,Hoods Entertainment,Action,Hoods Drifters Studio,12,FALSE,524,294,275539,2120,133963,8.03
31344,K: Missing Kings - Manner Movie,Original,KlockWorx,Comedy,GoHands,1,FALSE,4893,5191,5174,19,1433,6.7
31348,Xue Haizi,Original,Shanghai Animation Film Studio,Kids,,1,FALSE,13574,13352,135,0,36,5.42
31361,Neko Enikki,Web manga,comico,Comedy,Kachidoki Studio,13,FALSE,12235,11848,227,0,13,6.31
31362,Osiris no Tenbin,Original,Fuji TV,Drama,,10,FALSE,8282,7616,1787,7,81,5.79
31368,Grisaia no Rakuen Specials,Visual novel,,Ecchi,8bit,5,FALSE,3031,2288,30534,28,15955,7.16
31369,Mori no Ongakudan,Original,Pony Canyon,Comedy,Sunrise,13,FALSE,12136,12821,161,0,8,6.13
31370,Tonkatsu DJ Agetarou,Manga,YTV,Music,Studio Deen,12,FALSE,3017,3976,9979,70,4511,7.17
31373,Rudolf to Ippaiattena,Novel,Dentsu,Adventure,OLM,1,FALSE,4223,9387,760,1,146,6.85
31374,Shingeki! Kyojin Chuugakkou,Manga,Pony Canyon Enterprise,Comedy,Production I.G,12,FALSE,3454,1050,89969,407,43670,7.06
31376,Flying Witch,Manga,VAP,Slice of Life,J.C.Staff,12,FALSE,1391,584,160856,895,64937,7.59
31377,Kataribe Shoujo Honoka,Original,,Slice of Life,Ishikawa Pro,1,FALSE,8912,10747,381,0,105,5.51
31378,Owari no Seraph: Kyuuketsuki Shahar,Manga,,Action,Wit Studio,1,FALSE,2746,2017,37769,72,15432,7.23
31380,To LOVE-Ru Darkness 2nd OVA,Manga,,Sci-Fi,Xebec,3,FALSE,1024,1892,42288,110,19896,7.74
31387,Aru Hi Inu no Kuni kara Tegami ga Kite,Manga,Half H.P Studio,Drama,,1,FALSE,5241,7257,2101,3,1176,6.62
31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,Visual novel,,Action,ufotable,1,FALSE,1738,1661,50666,136,28917,7.48
31402,Soul Worker: Your Destiny Awaits,Game,,Action,Larx Entertainment,5,FALSE,7794,6853,2529,5,842,5.98
31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,Light novel,Sotsu,Game,Project No.9,12,FALSE,3524,308,260111,865,131611,7.04
31405,Joker Game,Novel,Frontier Works,Military,Production I.G,12,FALSE,3197,641,147102,478,59446,7.12
31410,Mini Van 2nd Season,4-koma manga,HeART-BIT,Game,DLE,26,FALSE,12067,9805,606,0,47,6.09
